"timestamp","measured_position","measured_position","measured_position","measured_position","measured_position","measured_position"
1628257087.10109,1.39179885387421,-2.40827924409975,2.12948894500732,-2.83663732210268,-1.4295600096332,-1.17460833948257E-05
1628257087.10916,1.39105618000031,-2.40658981004824,2.12756156921387,-2.83657724062075,-1.42903262773623,-3.5587941304982E-05
1628257087.11728,1.39025366306305,-2.40490085283388,2.12560987472534,-2.83643371263613,-1.42846900621523,-2.36670123499039E-05
1628257087.12536,1.38952374458313,-2.40326005617251,2.12363386154175,-2.83644563356508,-1.42797738710512,-2.36670123499039E-05
1628257087.1335,1.38878107070923,-2.40151054063906,2.12167024612427,-2.8362777868854,-1.42742568651308,1.1984225238848E-05
1628257087.14155,1.38800251483917,-2.39989358583559,2.11964702606201,-2.83614570299257,-1.42693406740298,0
1628257087.14957,1.38727176189423,-2.39809638658632,2.11759948730469,-2.8361819426166,-1.42639428773989,2.3968450477696E-05
1628257087.1576,1.38654112815857,-2.39639550844301,2.11552810668945,-2.83596593538393,-1.425758663808,0
1628257087.16569,1.38579893112183,-2.39465839067568,2.11352920532227,-2.83595401445498,-1.42520696321596,0
1628257087.17379,1.38502025604248,-2.39300567308535,2.11151742935181,-2.83585817018618,-1.42473918596377,-1.17460833948257E-05
1628257087.18191,1.38428962230682,-2.39136392274965,2.10948181152344,-2.83570224443545,-1.42418748537173,-2.36670123499039E-05
1628257087.19,1.38355898857117,-2.38960296312441,2.107506275177,-2.83567792574038,-1.42367202440371,2.3968450477696E-05
1628257087.19813,1.38285231590271,-2.38785440126528,2.10544681549072,-2.83558208147158,-1.42312032381167,-1.17460833948257E-05
1628257087.20614,1.38210999965668,-2.38618880907168,2.10341119766235,-2.8355224768268,-1.42249662080874,1.1984225238848E-05
1628257087.21432,1.38133144378662,-2.38447600999941,2.10139989852905,-2.835426632558,-1.42193299928774,0
1628257087.22238,1.38060069084167,-2.38279849687685,2.09947204589844,-2.83531839052309,-1.4213812986957,3.59526748070493E-05
1628257087.23041,1.37978613376617,-2.38107377687563,2.09752082824707,-2.83527070680727,-1.42087775865664,-1.17460833948257E-05
1628257087.23847,1.37831318378448,-2.37771970430483,2.09367704391479,-2.83504277864565,-1.41978627840151,0
1628257087.24657,1.3775589466095,-2.37606603304018,2.09161758422852,-2.8350308577167,-1.41918689409365,1.1984225238848E-05
1628257087.2546,1.3768162727356,-2.37436515489687,2.08959436416626,-2.83480340639223,-1.41858703294863,2.3968450477696E-05
1628257087.26292,1.37608563899994,-2.37265187898745,2.08764219284058,-2.83480340639223,-1.4180477301227,-1.17460833948257E-05
1628257087.27095,1.3753674030304,-2.37095100084414,2.08564281463623,-2.83468372026552,-1.41754419008364,1.1984225238848E-05
1628257087.27889,1.37463665008545,-2.3693097273456,2.083655834198,-2.83461171785464,-1.4169924894916,1.1984225238848E-05
1628257087.28699,1.37389409542084,-2.36763221422304,2.08159589767456,-2.83458787599672,-1.41644078889956,-1.17460833948257E-05
1628257087.29504,1.37317538261414,-2.36593181291689,2.07951259613037,-2.83446818987002,-1.41594916978945,-2.36670123499039E-05
1628257087.30332,1.37244474887848,-2.36423045793642,2.07741689682007,-2.83444387117495,-1.4153736273395,0
1628257087.31131,1.37169051170349,-2.36255294481386,2.07544183731079,-2.83432418504824,-1.41488200822939,3.59526748070493E-05
1628257087.31945,1.37100768089294,-2.36080390611757,2.07344150543213,-2.83416825929751,-1.41430598894228,3.59526748070493E-05
1628257087.32739,1.37020516395569,-2.35916263261904,2.07145404815674,-2.83422834077944,-1.41377860704531,-3.5587941304982E-05
1628257087.33554,1.36947453022003,-2.35744983354677,2.06943082809448,-2.8341444174396,-1.41321498552431,1.1984225238848E-05
1628257087.34366,1.36869585514069,-2.3557484785663,2.06745529174805,-2.83394033113589,-1.41265136400332,7.19053496140987E-05
